Property_Address,Tax_Year,Property_Class,Type_of_Residence,Rooms,Bedrooms,Basement,Fireplaces,Central_Air,Full_Baths,Half_Baths,Building_Square_Feet,Land_Square_Feet,Age,Longitude,Latitude,Sale_Price
9633  RICHARD AVE FRANKLIN PARK,2018,202,1.0,4.0,2.0,2.0,0.0,1.0,1.0,0.0,943.0,5535.0,62.0,-87.86662367,41.92607020000001,119000
1568  VERMONT ST ROLLING MEADOWS,2018,278,2.0,8.0,4.0,3.0,1.0,1.0,2.0,1.0,3556.0,11157.0,6.0,-88.03608742,42.09335714,1
1335 S PLYMOUTH CT,2009,295,3-story,7.0,3.0,Slab basement,1.0,Yes,2.0,1.0,1903.0,1616.0,19.0,-87.628241,41.864862,510000
4245 SUNNYSIDE AVE,2015,210,2-story,4.0,2.0,Full basement,0.0,No,1.0,1.0,1000.0,3870.0,60.0,-87.8460184,41.8131678,118000
817  DRACUT LN SCHAUMBURG,2018,295,2.0,6.0,3.0,2.0,1.0,1.0,2.0,1.0,1452.0,3564.0,26.0,-88.06056967,42.04452901,151000
856  HINMAN AVE EVANSTON,2018,299,,,,,,,1.0,,,26272.0,10.0,-87.67807636,42.03341576,63200
6301 N SHERIDAN RD 16K,2003,299,,,,,,,,,,,,-87.6550688,41.9967345,152000
250 E PEARSON 2503,2008,299,,,,,,,,,,,,-87.6193321,41.8979225,1100000
5440  NICHOLSON DR HOFFMAN ESTATES,2018,208,2.0,10.0,4.0,1.0,1.0,1.0,3.0,1.0,4513.0,15399.0,10.0,-88.21467171,42.05748415,1
105 W 53RD ST,2012,234,multilevel,8.0,3.0,Partial basement,2.0,Yes,2.0,0.0,1849.0,7676.0,42.0,-87.88924240000001,41.7929451,520000
18620 GLADVILLE AV,2003,203,1-story,6.0,3.0,Full basement,0.0,Yes,1.0,1.0,1253.0,7752.0,50.0,-87.6580552,41.551735,146260
2422 N WEST ST RIVER GROVE,2018,203,5.0,5.0,3.0,1.0,0.0,1.0,1.0,0.0,1176.0,4250.0,61.0,-87.85058679,41.92334807,245000
8620  WAUKEGAN RD MORTON GROVE,2018,299,,,,,,,1.0,,,15541.0,10.0,-87.79951387,42.03830588,166000
9817  BIANCO TER DES PLAINES,2018,299,,,,,,,1.0,,,312580.0,10.0,-87.85802312,42.05598069,111000
8212 S HOUSTON AV,2003,211,1-story,9.0,4.0,Full basement,0.0,No,1.0,0.0,2063.0,3125.0,110.0,-87.5505849,41.7460078,128000
4153 N OTTAWA AVE,2012,202,1-story,6.0,3.0,Full basement,0.0,Yes,1.0,1.0,786.0,3780.0,83.0,-87.818033,41.9559144,240000
2501  CENTRAL ST EVANSTON,2018,299,,,,,,,1.0,,,20400.0,10.0,-87.70825173,42.06472378,275000
6559 W GEORGE,2008,299,,,,,,,,,,,,-87.79017979999998,41.9319702,246340
2553 N HAYMOND ST RIVER GROVE,2018,203,5.0,6.0,4.0,1.0,0.0,1.0,1.0,0.0,1188.0,5985.0,91.0,-87.82675282,41.92644104,159000
7707 S NAGLE AV,2003,203,1-story,6.0,3.0,Slab basement,0.0,No,1.0,0.0,1070.0,3690.0,52.0,-87.78123599999998,41.7517177,156500
2020 N 73RD AVE ELMWOOD PARK,2018,299,,,,,,,1.0,,,4362.0,10.0,-87.80883046,41.91692771,80000
1427  NOYES ST EVANSTON,2018,203,5.0,6.0,3.0,1.0,1.0,2.0,2.0,0.0,1700.0,5600.0,92.0,-87.69217964,42.05866621,1
9908 S WINSTON AVE,2011,203,1-story,6.0,3.0,Slab basement,0.0,No,1.0,0.0,1530.0,7950.0,79.0,-87.65809370000002,41.7135941,92000
3634  SALEM WALK  NORTHBROOK,2018,211,3.0,27.0,9.0,2.0,0.0,2.0,6.0,0.0,6393.0,3574.0,38.0,-87.86973735,42.08910298,571645
886  SPRUCE ST WINNETKA,2018,205,2.0,7.0,4.0,1.0,0.0,1.0,1.0,2.0,2160.0,9350.0,126.0,-87.73757821,42.10671264,780000
6853  PLUMTREE LN HANOVER PARK,2018,203,1.0,9.0,4.0,1.0,0.0,2.0,1.0,1.0,1106.0,7788.0,47.0,-88.1600986,41.99643948,114000
401 E ONTARIO 1709,2003,299,,,,,,,,,,,,-87.61725679999998,41.8931689,377000
825  INDIANA LN ELK GROVE VILLAGE,2018,278,2.0,7.0,4.0,3.0,0.0,2.0,2.0,1.0,2044.0,8610.0,37.0,-88.04633559999998,42.00079456,328500
4545  TOUHY AVE LINCOLNWOOD,2018,299,,,,,,,1.0,,,291946.0,10.0,-87.74174975,42.01087193,236500
655 W. Irving Park Rd.,2005,299,,,,,,,,,,,,-87.647012,41.9543789,520000
517  STONE GATE CIR SCHAUMBURG,2018,295,2.0,5.0,2.0,1.0,0.0,1.0,1.0,1.0,1232.0,1797.0,34.0,-88.08307257,42.01763188,207000
1404 KASTEN DR,2003,203,1-story,6.0,3.0,Slab basement,0.0,Yes,1.0,0.0,1119.0,5151.0,49.0,-87.5828535,41.63086060000001,87500
1122 N CLARK 3004,2012,299,,,,,,,,,,,,-87.63186429999998,41.9024825,192500
4917 W CONGRESS,2004,205,2-story,6.0,4.0,Slab basement,0.0,No,1.0,1.0,1962.0,3100.0,106.0,-87.7478219,41.8738182,140000
3513 W 60TH ST,2003,203,1-story,4.0,2.0,Slab basement,0.0,No,1.0,0.0,1029.0,3125.0,84.0,-87.71123859999999,41.7841107,148000
8104 FORESTVIEW DR,2003,203,?,5.0,3.0,Full basement,1.0,No,1.0,1.0,1413.0,7647.0,72.0,-87.8166315,41.6199233,60000
4534  MAIN ST SKOKIE,2018,234,4.0,6.0,4.0,3.0,0.0,1.0,2.0,1.0,1428.0,6360.0,54.0,-87.74152755,42.03384733,247000
2343 W MOFFAT ST,2009,203,?,6.0,4.0,Full basement,0.0,No,1.0,0.0,1504.0,2400.0,116.0,-87.68644559999998,41.91454210000001,480000
137 W 156TH PL,2004,202,1-story,4.0,2.0,crawlspace,0.0,No,1.0,0.0,672.0,8040.0,92.0,-87.66385600000002,41.605629,59900
280 MAPLEWOOD RD,2005,278,2-story,12.0,6.0,Full basement,3.0,Yes,3.0,0.0,2898.0,12324.0,30.0,-87.825328,41.8351186,686000
595  MORRAY CT DES PLAINES,2018,234,4.0,5.0,3.0,3.0,0.0,2.0,1.0,1.0,1276.0,7590.0,45.0,-87.93631292,42.02920819,199900
1316  CUMBERLAND CIRCLE EAST  ELK GROVE VILLAGE,2018,207,2.0,7.0,4.0,2.0,1.0,1.0,2.0,0.0,1465.0,7700.0,50.0,-88.00448671,41.9948773,315000
4320 W 31ST ST,2006,206,2-story,8.0,4.0,crawlspace,0.0,No,3.0,0.0,2413.0,2875.0,109.0,-87.7324843,41.8369821,257000
820  DOBSON ST EVANSTON,2018,299,,,,,,,1.0,,,7442.0,10.0,-87.6839115,42.02007413,200000
4613 N CLAREMONT,2006,203,?,7.0,3.0,Full basement,0.0,Yes,1.0,0.0,1165.0,2450.0,97.0,-87.6873327,41.9653648,649900
4030 W 82ND PL,2010,203,1-story,4.0,2.0,Partial basement,0.0,Yes,1.0,0.0,1108.0,5205.0,53.0,-87.72309150000002,41.7430829,165000
3537 N CLINTON,2009,203,1-story,5.0,2.0,Full basement,0.0,No,1.0,0.0,1007.0,6150.0,93.0,-87.7959875,41.8271879,105000
1275  BALDWIN LN PALATINE,2018,299,,,,,,,1.0,,,28192.0,10.0,-88.01206389,42.13580749,50000
2901 N WOLCOTT  UTA,2004,299,,,,,,,,,,,,-87.6755219,41.9343672,254500
14430 ASHLEY CT,2006,299,,,,,,,,,,,,-87.8242338,41.628559,204000
93  HILLS DR BARRINGTON HILLS,2018,204,1.0,9.0,4.0,3.0,2.0,1.0,2.0,2.0,2447.0,236836.0,45.0,-88.16939132,42.1290475,451000
1337  ELMWOOD AVE WILMETTE,2018,206,2.0,9.0,5.0,1.0,3.0,1.0,3.0,1.0,3204.0,9500.0,89.0,-87.71163936,42.08115819,1190000
15313 BRIAR LANE,2010,207,2-story,7.0,4.0,crawlspace,0.0,Yes,1.0,1.0,1600.0,6600.0,40.0,-87.76289890000002,41.613186,210000
2118 WESTCHESTER RD,2004,203,1-story,6.0,4.0,Full basement,0.0,Yes,2.0,1.0,1450.0,7167.0,48.0,-87.8806738,41.8498339,325000
2729 W TOUHY 2F,2003,299,,,,,,,,,,,,-87.69861390000001,42.01192750000001,168000
1921  GROVE AVE SCHAUMBURG,2018,299,,,,,,,1.0,,,1515372.0,10.0,-88.12593765,41.99430706,200000
5421 S 7TH AV,2004,202,1-story,5.0,3.0,crawlspace,0.0,No,1.0,1.0,975.0,6164.0,57.0,-87.8659756,41.7915943,300000
1611 N BROADWAY ST,2006,295,2-story,5.0,2.0,Full basement,0.0,No,1.0,0.0,920.0,3250.0,65.0,-87.8566298,41.9027966,200000
1312 W 72ND PL,2008,203,1-story,5.0,2.0,Full basement,0.0,Yes,1.0,0.0,1080.0,3625.0,96.0,-87.657859,41.762522,138000
1237 W EDDY,2005,206,2-story,9.0,4.0,Full basement,0.0,No,2.0,1.0,2394.0,3720.0,100.0,-87.6606022,41.945975,1185000
2445 W WASHBURNE,2003,203,1-story,4.0,2.0,Slab basement,0.0,No,1.0,0.0,1100.0,3125.0,119.0,-87.6877934,41.86522100000001,75000
241  MAIN ST BARTLETT,2018,299,,,,,,,1.0,,,33884.0,10.0,-88.18406775,41.99124929999999,88000
13156 OAK RIDGE TRL,2003,299,,,,,,,,,,,,-87.808375,41.651794,218000
4805 W STRONG ST,2005,211,2-story,5.0,3.0,crawlspace,0.0,No,2.0,0.0,1680.0,3075.0,93.0,-87.7482036,41.9705576,362000
123 S GREEN ST 606B,2014,299,,,,,,,,,,,,-87.6482748,41.8801718,451250
5155 W MADISON ST SKOKIE,2018,299,,,,,,,1.0,,,208758.0,10.0,-87.75506616,42.03145097,325000
4232 N TROY ST,2015,205,2-story,7.0,3.0,Full basement,0.0,No,2.0,0.0,1364.0,4688.0,102.0,-87.70723570000001,41.958563,380000
15245 LAS FLORES,2008,203,1-story,6.0,3.0,crawlspace,1.0,Yes,1.0,1.0,1205.0,8250.0,38.0,-87.766378,41.6147534,228900
360 E RANDOLPH 705,2008,299,,,,,,,,,,,,-87.6179803,41.8849092,850000
975  PINE TREE LN WINNETKA,2018,208,2.0,9.0,4.0,1.0,1.0,1.0,3.0,1.0,4146.0,21854.0,21.0,-87.76439601,42.11859801,1400000
103 S CEDAR ST PALATINE,2018,278,2.0,8.0,4.0,3.0,1.0,1.0,2.0,1.0,2928.0,10780.0,37.0,-88.05306970000002,42.10831137,480000
659 PAXTON AVE,2006,203,1-story,5.0,3.0,Slab basement,0.0,Yes,1.0,1.0,1255.0,9336.0,40.0,-87.568416,41.6163791,158000
831  YOSEMITE TRL ROSELLE,2018,299,,,,,,,1.0,,,462363.0,10.0,-88.05759753,41.99371312,169500
13919 W LEAMINGTON DRI,2010,299,,,,,,,,,,,,-87.74606659999998,41.63857720000001,150000
9221  DRAKE AVE EVANSTON,2018,299,,,,,,,1.0,,,85861.0,10.0,-87.71620711,42.04873382,225000
1852 JANKE DRIVE,2012,299,,,,,,,,,,,,-87.8264989,42.1142922,2600000
2523 N HARDING,2009,203,1-story,4.0,3.0,Slab basement,0.0,No,1.0,0.0,1193.0,3750.0,89.0,-87.72536159999999,41.9270128,320000
1355 W WASHINGTON BLVD,2015,299,,,,,,,,,,,,-87.6617719,41.8825492,473500
2609  PARK ST ROLLING MEADOWS,2018,203,1.0,5.0,3.0,3.0,0.0,1.0,1.0,0.0,1003.0,12320.0,59.0,-88.01453868,42.07849798,152500
8612 W BELDEN AVE RIVER GROVE,2018,203,5.0,6.0,3.0,1.0,0.0,1.0,1.0,0.0,1285.0,6572.0,66.0,-87.84105916,41.92135364,45000
225 W HUBBARD 4TH FL,2009,299,,,,,,,,,,,,-87.6352597,41.8897174,450000
450 WOOD ST,2007,234,multilevel,6.0,3.0,Partial basement,0.0,No,1.0,0.0,1387.0,7272.0,49.0,-87.66010920000002,41.5224775,193000
18951 BOULDER CRT,2008,203,1-story,6.0,3.0,Partial basement,0.0,Yes,1.0,1.0,1244.0,9545.0,41.0,-87.63658709999999,41.5447053,198000
316  GARETH LN SCHAUMBURG,2018,234,4.0,6.0,3.0,3.0,1.0,1.0,1.0,1.0,1266.0,9000.0,45.0,-88.06509934,42.02157136,359000
16513 WAUSAU,2006,204,1-story,5.0,3.0,Partial basement,0.0,No,1.0,1.0,1803.0,7200.0,39.0,-87.60926529999998,41.59531610000001,210000
1910 W CORTLAND ST,2009,278,2-story,7.0,4.0,Full basement,1.0,Yes,3.0,1.0,2720.0,3000.0,4.0,-87.67565350000002,41.9161917,1275000
6405 S RACINE AVE,2009,211,2-story,10.0,6.0,Full basement,0.0,No,2.0,0.0,1958.0,3125.0,131.0,-87.6542788,41.7775278,290000
901 N PROSPECT AVE PARK RIDGE,2018,204,1.0,8.0,4.0,1.0,2.0,1.0,2.0,0.0,2150.0,9975.0,58.0,-87.82920166,42.02405298,406500
646 E SHA-BONEE TRL MOUNT PROSPECT,2018,299,,,,,,,1.0,,,10692.0,10.0,-87.92743209,42.05757192,190000
2536 W THOMAS ST,2009,211,2-story,8.0,4.0,Slab basement,0.0,No,2.0,0.0,1680.0,2946.0,115.0,-87.6909432,41.901537,230000
14307 S KARLOV,2006,203,1-story,5.0,3.0,Full basement,0.0,No,1.0,0.0,1161.0,6700.0,42.0,-87.720167,41.6325665,216000
1810  HEMLOCK PL SCHAUMBURG,2018,299,,,,,,,1.0,,,196024.0,10.0,-88.03611629,42.06203289,59000
409 WOODSIDE DR,2003,299,,,,,,,,,,,,-87.9642236,41.9464128,205700
864 BUFFALO AV,2004,203,1-story,5.0,2.0,Full basement,1.0,No,1.0,0.0,1282.0,6523.0,49.0,-87.5434679,41.6094223,145000
2306  HARRISON ST EVANSTON,2018,205,2.0,7.0,4.0,1.0,1.0,2.0,2.0,0.0,1680.0,8350.0,110.0,-87.70534735,42.06304248,615000
1221 E 165TH PL,2003,203,1-story,5.0,3.0,Partial basement,1.0,Yes,2.0,1.0,1645.0,7245.0,43.0,-87.58727259999998,41.5943125,176500
7329 W 85TH PL,2012,299,,,,,,,,,,,,-87.803067,41.735894,65000
8919 E PRAIRIE RD SKOKIE,2018,203,1.0,6.0,3.0,3.0,1.0,2.0,1.0,0.0,1140.0,7015.0,60.0,-87.71819913,42.04314493,1
51  KING DR STREAMWOOD,2018,295,2.0,6.0,3.0,2.0,1.0,1.0,1.0,1.0,1605.0,3979.0,22.0,-88.15588751,42.01063791,131000
1529 S STATE ST,2009,299,,,,,,,,,,,,-87.6268522,41.86113029999999,245000
14125 S LA SALLE ST,2003,203,1-story,6.0,3.0,Full basement,0.0,Yes,1.0,0.0,1194.0,3750.0,57.0,-87.6254444,41.637820700000006,116500
4939 N ORIOLE AVE HARWOOD HEIGHTS,2018,203,1.0,7.0,3.0,1.0,0.0,1.0,2.0,0.0,1348.0,4166.0,54.0,-87.81660823,41.97019254,335000
1352 S MEMORIAL DR,2007,234,multilevel,5.0,3.0,Partial basement,0.0,Yes,1.0,1.0,1308.0,5000.0,29.0,-87.5581835,41.6192792,189500
9225 HOMESTEAD LN,2003,203,1-story,5.0,3.0,Slab basement,0.0,No,1.0,0.0,1488.0,7150.0,53.0,-87.79337509999998,41.7240788,208000
9200 N EAST PRAIRIE RD EVANSTON,2018,299,,,,,,,1.0,,,138665.0,10.0,-87.71451446,42.04876394,265000
3412 N KOLMAR,2011,203,?,6.0,3.0,Slab basement,0.0,No,1.0,0.0,1348.0,3150.0,98.0,-87.741066,41.9430208,205000
3515 S CENTRAL,2004,203,1-story,5.0,3.0,Full basement,0.0,Yes,2.0,0.0,1088.0,3810.0,51.0,-87.7630143,41.82837650000001,184990
7061 W TOUHY AVE NILES,2018,299,,,,,,,1.0,,,23760.0,10.0,-87.80412951,42.00960858,335000
PO BOX 11223,2015,299,,,,,,,,,,,,-87.62979820000002,41.8781136,197500
1537 W FARWELL UNIT 1N,2005,299,,,,,,,,,,,,-87.6692098,42.0061685,200500
2527 N 74TH CT ELMWOOD PARK,2018,203,1.0,5.0,2.0,1.0,0.0,1.0,1.0,1.0,1062.0,4375.0,62.0,-87.81209511,41.92638831,219900
6954 MEADOWCREST,2006,299,,,,,,,,,,,,-88.00301490000003,41.75940670000001,297500
8012 S BRANDON,2003,202,1-story,4.0,3.0,Full basement,0.0,Yes,1.0,0.0,760.0,3100.0,76.0,-87.54704090000001,41.7497795,78000
7221 W MONTROSE AVE,2014,299,,,,,,,,,,,,-87.808183,41.959812,80000
3114 N MONITOR AVE,2013,203,1-story,6.0,4.0,Full basement,0.0,No,1.0,0.0,1560.0,4092.0,83.0,-87.7728056,41.9371597,215000
17043 HAVEN,2009,234,multilevel,7.0,3.0,Partial basement,0.0,Yes,2.0,0.0,1590.0,8750.0,18.0,-87.8431078,41.5853107,272500
924 S MAPLE,2013,203,1-story,4.0,1.0,Slab basement,0.0,No,1.0,0.0,985.0,5666.0,104.0,-87.803286,41.8713192,207000
742 N PINE AV,2005,211,3-story,20.0,13.0,Full basement,0.0,No,5.0,3.0,4060.0,9696.0,112.0,-87.764051,41.894211,356000
7911  NORDICA AVE NILES,2018,295,2.0,5.0,3.0,1.0,0.0,1.0,2.0,1.0,1333.0,1694.0,50.0,-87.79759743,42.02492488,265000
1534 S SURREY RIDGE DR ARLINGTON HEIGHTS,2018,234,4.0,6.0,3.0,3.0,0.0,2.0,2.0,1.0,1398.0,9382.0,49.0,-87.98316617,42.0551855,275000
2639 W RICE,2004,211,2-story,11.0,5.0,Full basement,0.0,No,2.0,0.0,2368.0,2925.0,111.0,-87.6933573,41.8963666,445000
5829 W SCHOOL ST,2010,203,?,5.0,2.0,Full basement,0.0,Yes,1.0,0.0,1242.0,3780.0,84.0,-87.7726243,41.9400984,175000
11835 S EMERALD,2003,202,1-story,4.0,2.0,Slab basement,0.0,No,1.0,0.0,880.0,3100.0,90.0,-87.6404807,41.67865250000001,70000
3132 MAPLE,2003,202,?,6.0,3.0,Full basement,0.0,Yes,1.0,1.0,1331.0,6300.0,63.0,-87.852002,41.833601,221000
10809 S KENNETH AVE,2015,203,1-story,6.0,3.0,Full basement,0.0,No,1.0,1.0,912.0,6450.0,50.0,-87.7311712,41.6961913,176000
1746 E 73RD PL,2005,297,3-story,30.0,12.0,Full basement,0.0,No,6.0,0.0,7938.0,6985.0,74.0,-87.581744,41.7624368,284000
785  THOREAU DR ELGIN,2018,207,2.0,8.0,3.0,1.0,1.0,1.0,2.0,0.0,1833.0,7475.0,27.0,-88.23826622,42.02149607,149900
6331 S KARLOV AV,2003,203,1-story,6.0,3.0,Full basement,0.0,No,1.0,0.0,1227.0,3750.0,76.0,-87.72486140000002,41.77769970000001,198000
3831 W ALBION AVE LINCOLNWOOD,2018,299,,,,,,,1.0,,,9359.0,10.0,-87.725049,42.00064368,230000
1123 N FOREST,2008,209,2-story,15.0,5.0,Full basement,0.0,Yes,4.0,2.0,5338.0,11388.0,4.0,-87.8215271,41.9002374,2000000
2529 W FARGO,2008,205,2-story,8.0,4.0,Full basement,0.0,No,2.0,1.0,1644.0,3720.0,83.0,-87.6937369,42.0165481,316700
10801 S CAMPBELL AVE,2011,203,1-story,6.0,3.0,Full basement,1.0,No,1.0,1.0,1188.0,5094.0,55.0,-87.6835186,41.697111,170000
6330 N BELL AVE,2005,203,1-story,6.0,3.0,Full basement,0.0,No,1.0,0.0,1309.0,4000.0,81.0,-87.6864838,41.9969241,342000
1317  ELGIN LN SCHAUMBURG,2018,203,1.0,4.0,3.0,2.0,0.0,2.0,1.0,0.0,1155.0,8550.0,44.0,-88.11282989,42.02903196,235000
3060 E CHELTENHAM PL,2006,211,3-story,24.0,12.0,Full basement,0.0,No,4.0,0.0,6063.0,4114.0,76.0,-87.5505753,41.7531482,401000
1933 W 56TH ST,2009,203,1-story,5.0,3.0,Slab basement,0.0,No,1.0,0.0,1265.0,21630.0,61.0,-87.8953363,41.7865746,250000
7741 W 81ST ST,2014,234,multilevel,5.0,3.0,Partial basement,0.0,No,1.0,1.0,1163.0,8645.0,46.0,-87.8125035,41.7439592,130000
5122 W SCHOOL,2009,203,?,5.0,3.0,Full basement,1.0,No,1.0,0.0,1429.0,3750.0,81.0,-87.7553055,41.94074970000001,270000
8075  CARLISLE DR HANOVER PARK,2018,234,4.0,4.0,2.0,3.0,0.0,1.0,1.0,1.0,1084.0,7800.0,40.0,-88.13419949,42.01516263,159000
1042 S HIDDENBROOK TRL PALATINE,2018,278,2.0,9.0,4.0,1.0,2.0,1.0,3.0,1.0,3722.0,13573.0,19.0,-88.07745159,42.09226023,675000
154  BOYNTON DR PALATINE,2018,234,4.0,7.0,3.0,3.0,0.0,1.0,1.0,1.0,1318.0,8989.0,51.0,-88.02152331,42.11355493,265000
2849 N WOLCOTT AVE,2015,299,,,,,,,,,,,,-87.674674,41.93376,249900
3128 W WALLEN AVE,2012,209,3-story,12.0,5.0,Full basement,2.0,Yes,4.0,1.0,7055.0,5979.0,1.0,-87.70726450000002,42.0018284,400000
22467 AMY DR,2006,234,multilevel,5.0,3.0,Partial basement,1.0,Yes,1.0,1.0,1157.0,8381.0,19.0,-87.7386148,41.4808848,179000
2520  GEORGE ST FRANKLIN PARK,2018,203,1.0,5.0,3.0,1.0,0.0,1.0,2.0,1.0,1262.0,4320.0,52.0,-87.88114578,41.92468943,165000
2909 W FARWELL AV,2007,299,,,,,,,,,,,,-87.7027319,42.0054511,190000
6801 WEST 63RD PL,2003,203,1-story,6.0,3.0,Full basement,0.0,Yes,1.0,1.0,1286.0,6111.0,46.0,-87.79114679999998,41.7763864,237000
2254  BALDWIN WAY PALATINE,2018,299,,,,,,,1.0,,,116268.0,10.0,-88.01532675,42.15028262,146000
1624 S HARDING,2004,203,1-story,4.0,3.0,Slab basement,0.0,No,1.0,0.0,1179.0,4644.0,100.0,-87.7238995,41.858105,154000
4355 TOWNSEND AVE,2006,278,2-story,8.0,4.0,Partial basement,1.0,Yes,2.0,1.0,2545.0,9322.0,7.0,-87.71310179999998,41.5039235,285000
4244 N LEAVITT  STREET,2010,278,?,8.0,4.0,Full basement,0.0,No,2.0,1.0,1451.0,3100.0,113.0,-87.68405329999999,41.9590551,1065000
3144 S HIGHLAND,2006,211,?,5.0,2.0,Full basement,0.0,Yes,2.0,1.0,1264.0,3906.0,82.0,-87.78088740000003,41.834543,301000
9924 S MAJOR,2003,278,2-story,10.0,4.0,Full basement,1.0,Yes,2.0,1.0,3353.0,7906.0,11.0,-87.7628221,41.7113183,450000
3710 OAK PARK AVE,2004,202,1-story,4.0,2.0,Full basement,0.0,Yes,1.0,0.0,741.0,3660.0,60.0,-87.7927988,41.82452650000001,187000
